"geo","TIME_PERIOD","Disability","Social exclusion, n.e.c.","Family/children","Housing","Housing and social exclusion, n.e.c.","Old age","Old age and survivors","Sickness/health care","Sickness/healthcare and disability","Survivors","Total","Unemployment","Poverty rate"
"Albania",2018,192.45,7.94,57.49,0.22,8.16,747.21,780.46,218.14,410.62,33.24,1289.88,33.16,53.9
"Albania",2019,191.93,9.34,78.88,0.22,9.56,775.34,808.6,215.59,407.54,33.26,1338.32,33.76,50.7
"Albania",2020,209.64,8.48,93.95,0.68,9.16,787.81,819.97,227.03,436.67,32.16,1485.55,125.79,46.2
"Albania",2021,197.84,9.84,103.09,0.12,9.96,854,889.62,270.21,468.05,35.64,1512.72,41.99,46.6
"Albania",2022,197.07,9.45,99.98,NA,9.45,893.6,927.2,252.54,449.61,33.6,1524.72,38.46,44.5
"Austria",2014,2221.97,483.02,2971.73,96.28,579.3,15097.22,17203.86,6211.43,8433.42,2106.62,30914.95,1726.65,NA
"Austria",2015,2157.89,576.03,3026.03,95.34,671.38,15100.53,17182.76,6279.21,8437.1,2082.23,31087.02,1769.74,16.9
"Austria",2016,2100.23,747.4,3037.49,93.64,841.03,15074.95,17128.05,6331.37,8431.61,2053.11,31262.09,1823.88,17.2
"Austria",2017,2040.38,622.87,3012.34,79.98,702.86,15064.56,17068.26,6421.81,8462.21,2003.69,31035.62,1789.96,17.1
"Austria",2018,1997.07,542.1,2998.51,72.24,614.34,15287.33,17262.31,6617.26,8614.34,1974.99,31232.85,1743.35,16.8
"Austria",2019,1968.06,489.27,2963.27,67.3,556.57,15659.37,17631.53,6845.66,8813.74,1972.16,31656.04,1690.93,16.5
"Austria",2020,1932.44,519.77,3174.32,65.26,585.03,16087.64,18055.31,6884.32,8816.75,1967.68,34733.57,4102.14,16.7
"Austria",2021,1878.16,542.55,2971.43,62.18,604.74,16465.13,18408.27,7400.55,9278.7,1943.13,34671.42,3408.26,17.3
"Austria",2022,1729.35,575.5,3002.41,56.7,632.2,16074.03,17907.57,7404.45,9133.82,1833.55,32552.83,1876.83,17.5
"Austria",2023,1694.22,770.77,2818.03,62.94,833.72,16122.68,17904.67,7275.03,8969.27,1781.97,32041.67,1515.99,17.7
"Belgium",2014,2278.82,614.5,2233.15,179.86,794.36,10525.1,12630.32,6353.82,8632.62,2105.21,27917.58,3627.12,NA
"Belgium",2015,2376.58,621.21,2200.92,168.96,790.17,11551.89,13627.56,5965.36,8341.95,2075.67,28302.41,3341.8,21.6
"Belgium",2016,2473.77,685.97,2197.11,175.14,861.12,11560.92,13602,5825.45,8299.2,2041.08,27733.86,2774.41,22.2
"Belgium",2017,2472.49,696.38,2209.68,182.76,879.13,11990.79,13990.52,5852.8,8325.28,1999.73,27516.95,2112.32,22
"Belgium",2018,2588.79,716.96,2195.13,174.1,891.06,12220.67,14180.07,5940.07,8528.86,1959.4,27793.31,1998.16,20.5
"Belgium",2019,2715.87,730.47,2258.5,182.26,912.73,12418.29,14464.98,6129.32,8845.18,2046.7,28219.81,1738.41,20.1
"Belgium",2020,2797.5,894.37,2351.24,171.12,1065.49,12953.69,14845.9,6430.04,9227.54,1892.21,30580.2,3090.03,20.3
"Belgium",2021,2866.42,696.94,2307.6,181.36,878.3,12886.69,14715.12,6778.21,9644.64,1828.45,29790.64,2244.96,19
"Belgium",2022,2922.72,831.97,2228.36,179.52,1011.48,12926.18,14696.17,6380.22,9302.94,1770,28463.19,1224.23,18.6
"Belgium",2023,3010.32,885.66,2239.35,165.64,1051.28,13302.14,15055.11,6477.89,9488.2,1752.96,28919.76,1085.81,18.8
"Bosnia and Herzegovina",2014,274.67,24.78,54.62,5.44,30.22,663.83,1070.05,480.5,755.17,406.24,1954.08,44.01,NA
"Bosnia and Herzegovina",2015,301.22,27.11,56.89,0.66,27.77,734.15,1158.62,509.61,810.83,424.46,2100.49,46.37,NA
"Bosnia and Herzegovina",2016,325.25,30,110.65,0.66,30.66,784.83,1252.02,586.97,912.22,467.17,2352.92,47.36,NA
"Bosnia and Herzegovina",2017,319.96,34.55,93.94,0.78,35.32,780.78,1260.67,611.06,930.99,479.89,2377.08,56.14,NA
"Bosnia and Herzegovina",2018,298.25,33.31,103.86,0.96,34.27,903.51,1344.34,631.5,929.74,440.83,2464.93,52.72,NA
"Bosnia and Herzegovina",2022,259,62.95,144.73,1.34,64.29,1054.67,1495.45,707.81,966.82,440.79,2727.29,56.02,NA
"Bosnia and Herzegovina",2023,304.1,89.56,194.86,1.22,90.78,1161.42,1634.03,737.62,1041.73,472.62,3012.93,51.51,NA
"Bulgaria",2014,240.56,39.38,313.59,0.02,39.39,1456.75,1638.55,640.21,880.77,181.8,2965.9,93.61,NA
"Bulgaria",2015,241.67,39.71,324.57,0.06,39.77,1505.61,1690.25,634.37,876.03,184.62,3025.68,95.06,43.3
"Bulgaria",2016,243.97,39.71,320.65,0.06,39.78,1559.86,1750.13,689.27,933.24,190.28,3151.91,108.1,41
"Bulgaria",2017,249.79,31.66,333.17,0.06,31.72,1562.16,1755.7,721.27,971.06,193.54,3196.73,105.11,38
"Bulgaria",2018,257.2,35,342.7,0.06,35.06,1619.37,1819.49,786.49,1043.7,200.12,3353.86,112.93,33
"Bulgaria",2019,310.71,37.05,344.59,0.08,37.12,1671.89,1879.05,843.28,1153.99,207.16,3527.51,112.77,33.2
