STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,spdeps,Main expenditure type,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AL,Albania,2018,,9.26,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AL,Albania,2019,,9.91,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AL,Albania,2020,,10.75,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AL,Albania,2021,,12.31,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AL,Albania,2022,,14.07,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2014,,223.8,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2015,,223.96,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2016,,225.15,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2017,,228,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2018,,223.5,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2019,,234.7,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2020,,240.08,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2021,,245.04,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2022,,252.79,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,AT,Austria,2023,,278.9,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2014,,18.81,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2015,,20.51,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2016,,22.48,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2017,,23.13,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2018,,23.32,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2022,,29.19,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BA,Bosnia and Herzegovina,2023,,32.26,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2014,,328.13,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2015,,325.11,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2016,,411.8,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2017,,415.81,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2018,,419.9,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2019,,440.05,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2020,,450.9,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2021,,468.24,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2022,,496.35,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BE,Belgium,2023,,523.38,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2014,,21.27,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2015,,22.43,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2016,,23.91,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2017,,24.81,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2018,,31.06,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2019,,34.48,,e,estimated,,
