STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2017,,23.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2018,,23.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2019,,23.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2020,,21.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2021,,22.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AL,Albania,2022,,20.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2013,,14.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2014,,14.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2015,,13.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2016,,14.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2017,,14.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2018,,14.3,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2019,,13.3,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2020,,13.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2021,,14.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2022,,14.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2023,,14.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,AT,Austria,2024,,14.3,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2013,,15.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2014,,15.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2015,,14.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2016,,15.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2017,,15.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2018,,16.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2019,,14.8,,b,break in time series,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2020,,14.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2021,,12.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2022,,13.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2023,,12.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BE,Belgium,2024,,11.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2013,,21.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2014,,21.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2015,,22.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2016,,22.9,,b,break in time series,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2017,,23.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2018,,22.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2019,,22.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2020,,23.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2021,,22.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2022,,22.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2023,,20.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,BG,Bulgaria,2024,,21.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2013,,14.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2014,,13.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2015,,15.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2016,,14.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2017,,15.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2018,,14.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2019,,16.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2020,,15.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2021,,14.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2022,,15.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CH,Switzerland,2023,,16.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2013,,15.3,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2014,,14.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2015,,16.2,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2016,,16.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2017,,15.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2018,,15.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2019,,15.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2020,,14.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2021,,13.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2022,,14.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2023,,14.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CY,Cyprus,2024,,14.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2013,,8.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2014,,9.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2015,,9.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2016,,9.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2017,,9.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2018,,9.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2019,,10.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2020,,9.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2021,,8.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2022,,10.2,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2023,,9.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,CZ,Czechia,2024,,9.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2013,,16.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2014,,16.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2015,,16.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2016,,16.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2017,,16.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2018,,16.0,,,,,
